#
#
# US Geological Survey
# retrieved: 2022-01-20 15:10:46 -05:00	(caas01)
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://waterservices.usgs.gov/rest/Site-Service.html
#
# Contact:   gs-w_support_nwisweb@usgs.gov
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  dec_lat_va      -- Decimal latitude
#  dec_long_va     -- Decimal longitude
#  coord_acy_cd    -- Latitude-longitude accuracy
#  dec_coord_datum_cd -- Decimal Latitude-longitude datum
#  alt_va          -- Altitude of Gage/land surface
#  alt_acy_va      -- Altitude accuracy
#  alt_datum_cd    -- Altitude datum
#  huc_cd          -- Hydrologic unit code
#
agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	01484703	WHITE OAK SWAMP DITCH TRIBUTARY AT BUNTING, DE	ST	38.45122455	-75.1521298	S	NAD83				02040303
USGS	01484705	BACK CREEK NEAR BISHOPVILLE, MD	ST	38.4245581	-75.1387962	S	NAD83				02040303
USGS	01484711	CAREY BRANCH NEAR SELBYVILLE, DE	ST	38.44678076	-75.2237996	S	NAD83				02040303
USGS	01484712	BISHOPVILLE PRONG TRIBUTARY AT BISHOPVILLE, MD	ST	38.4317806	-75.1826868	S	NAD83				02040303
USGS	01484713	PERKINS CREEK NEAR BISHOPVILLE, MD	ST	38.4167809	-75.198521	S	NAD83				02040303
USGS	0148471320	BIRCH BRANCH AT SHOWELL, MD	ST	38.4093333	-75.21238889	S	NAD83	 -0.84	.01	NAVD88	02040303
USGS	01484714	TAYLORVILLE CREEK NEAR BERLIN, MD	ST	38.35261495	-75.1940768	S	NAD83				02040303
USGS	01484715	KITTS BRANCH NEAR BERLIN, MD	ST	38.3317819	-75.20213288	S	NAD83				02040303
USGS	01484716	BOTTLE BRANCH AT BERLIN, MD	ST	38.31705995	-75.2160225	S	NAD83				02040303
USGS	01484717	NEWPORT CREEK NEAR BERLIN, MD	ST	38.30233786	-75.2110224	S	NAD83				02040303
USGS	01484718	BEAVERDAM CREEK AT IRONSHIRE, MD	ST	38.2826159	-75.2226897	S	NAD83				02040303
USGS	01484719	BASSETT CREEK NEAR IRONSHIRE, MD	ST	38.2680884	-75.2441629	1	NAD83	 3.33	.01	NGVD29	02040303
USGS	01484720	PORTER CREEK NEAR NEWARK, MD	ST	38.2590053	-75.2585246	S	NAD83				02040303
USGS	01484721	MARSHALL CREEK AT NEWARK, MD	ST	38.23872809	-75.282692	S	NAD83				02040303
USGS	01484722	MASSEY BRANCH NEAR NEWARK, MD	ST	38.2615054	-75.272136	S	NAD83				02040303
USGS	01484723	WATERWORKS CREEK TRIBUTARY NEAR CEDARTOWN, MD	ST	38.2184508	-75.29408129	S	NAD83				02040303
USGS	01484724	ROBINS CREEK AT CEDARTOWN, MD	ST	38.1937291	-75.2935258	S	NAD83				02040303
USGS	0148472405	BUNTINGS GUT NEAR CEDARTOWN, MD	ST-TS	38.1389722	-75.18363889	1	NAD83	 0.00	1.6	NAVD88	02040303
USGS	01484725	SCARBORO CREEK AT SPENCE, MD	ST	38.16567419	-75.3060263	S	NAD83				02040303
USGS	01484726	PAWPAW CREEK AT SPENCE, MD	ST	38.1520634	-75.31686	S	NAD83				02040303
