#
# USGS NWISWeb site number list
#
# This file can be used to retrieve data from the
# USGS NWISWeb internet based retrieval system using
# the 'File of site Numbers' search criteria.
#
# This file can be edited, but the number of columns
# must be equal for each row, and the 'site_no' column
# must remain.
#
# The columns include:
#  agency_cd  -- Agency code.  If no value is found, 'USGS' is assumed
#  site_no    -- USGS site number
#  station_nm -- USGS site name. This column is include for viewing only,
#                                it is not used by the nwisweb system.
#
agency_cd	site_no	station_nm
5s	15s	56s
USGS	0148473510	WATTSVILLE BRANCH TRIBUTARY 1 AT WATTSVILLE, VA
USGS	01484740	LITTLE MOSQUITO CREEK TRIB NEAR WATTSVILLE, VA
USGS	0148474010	SNEAD BRANCH NEAR HORNTOWN, VA
USGS	0148474550	FOWLING GUT AT BEEBE ROAD AT CHINCOTEAGUE, VA
USGS	01484746	CHINCOTEAGUE BAY INLET AT CHINCOTEAGUE, VA
USGS	01484750	ASSAWOMAN CREEK AT RT 695 NR TEMPERANCEVILLE, VA
USGS	01484755	WHITES CREEK AT RT 679 NEAR MODEST TOWN, VA
USGS	01484760	ROSS BRANCH AT RT 605 NEAR ACCOMACK, VA
USGS	01484765	NICKAWAMPUS CREEK AT RT 600 NEAR MELFA, VA
USGS	01484767	WALLS LANDING CREEK AT RT 600 AT CAPEVILLE, VA
USGS	0148476710	WALLS LANDING CREEK AT CAPEVILLE, VA
USGS	01484770	KINGS CREEK AT US HWY 13 (BYPASS)AT BAY VIEW, VA
USGS	01484780	MATTAWOMAN CREEK TRIB AT RT 13 NR EASTVILLE, VA
USGS	0148478850	UNNAMED TRIB TO NASSAWADOX CREEK NEAR EXMORE, VA
USGS	01484790	NASSAWADOX CREEK AT RT 606 NEAR NASSAWADOX, VA
USGS	01484800	GUY CREEK NEAR NASSAWADOX, VA
USGS	01484812	NASSAWADOX CREEK AB CHURCH CRK NR SILVER BEACH, VA
USGS	01484820	TAYLOR BRANCH NEAR PAINTER, VA
USGS	01484830	PUNGOTEAGUE CREEK AT RT 178 NEAR ONANCOCK, VA
USGS	01484840	TAYLOR CREEK AT RT 180 AT PUNGOTEAGUE, VA
USGS	01484855	NORTH BR ONANCOCK CR AT PINE ST AT ONANCOCK, VA
USGS	01484880	LEE MONT BRANCH AT RT 658 NEAR LEE MONT, VA
USGS	01484885	KATY YOUNG BRANCH AT RT 658 NEAR PARKSLEY, VA
USGS	01484900	BETHEL BRANCH AT RT 687 NEAR BLOXOM, VA
USGS	01484938	STARLING CREEK AT PORT OF SAXIS AT SAXIS, VA
USGS	01484960	TUNNELS MILL BR BELOW L HANCOCK BR NR OAK HALL, VA
USGS	01594911	ELK RUN AT HENRY, WV
USGS	0159493050	NORTH BRANCH POTOMAC RIVER NEAR WILSON, MD
USGS	01594960	BUFFALO CREEK AT BAYARD, WV
USGS	01595005	DIFFICULT CREEK AT RTE 50 NEAR GORMANIA, WV
