#
#
# US Geological Survey
# retrieved: 2022-01-20 14:41:31 EST
# URL: https://nwis.waterdata.usgs.gov/nwis/inventory
#
# The Site File stores location and general information about groundwater,
# surface water, and meteorological sites
# for sites in USA.
#
# The following selected fields are included in this output:
#
#  agency_cd       -- Agency
#  site_no         -- Site identification number
#  station_nm      -- Site name
#  site_tp_cd      -- Site type
#  district_cd     -- District code
#  state_cd        -- State code
#  county_cd       -- County code
#
#
# query started 2022-01-20 14:41:31 EST
#
# there are 30818 sites matching the search criteria.
#
#
agency_cd	site_no	station_nm	site_tp_cd	district_cd	state_cd	county_cd
5s	15s	50s	7s	3s	2s	3s
USGS	01300450	BEAVER SWAMP BROOK AT RYE NY	ST	36	36	119
USGS	0130049805	BRENT WOOD BROOK AT MOUTH AT MAMARONECK NY	ST	36	36	119
USGS	01300500	BEAVER SWAMP BROOK AT MAMARONECK NY	ST	36	36	119
USGS	0130050105	BEAVER SWAMP BROOK AT MOUTH AT MAMARONECK NY	ST	36	36	119
USGS	01300700	WEST BRANCH MAMARONECK RIVER AT WHITE PLAINS	ST	36	36	119
USGS	01300799	WE  47	ST	36	36	119
USGS	01300800	MAMARONECK R AT WINFIELD AVE AT MAMARONECK NY	ST	36	36	119
USGS	01300900	SHELDRAKE RIVER AT MAMARONECK NY	ST	36	36	119
USGS	0130099805	SHELDRAKE RIVER AT MOUTH AT MAMARONECK NY	ST	36	36	119
USGS	01301000	MAMARONECK RIVER AT MAMARONECK NY	ST	36	36	119
USGS	01301450	HUTCHINSON RIVER AT SCARSDALE NY	ST	36	36	119
USGS	01301500	HUTCHINSON RIVER AT PELHAM NY	ST	36	36	119
USGS	01301505	HUTCHINSON RIVER SOUTH OF PELHAM NY	ST	36	36	119
USGS	01301820	MALCOLM BROOK NEAR HAWTHORNE NY	ST	36	36	119
USGS	01301830	WHIPPOORWILL CREEK NEAR PLEASANTVILLE NY	ST	36	36	119
USGS	01301850	BEAR GUTTER CREEK NEAR ARMONK NY	ST	36	36	119
USGS	01301870	KENSICO TRIBUTARY E-11, EAST OF VALHALLA NY	ST	36	36	119
USGS	01301998	GRASSY SPRAIN BROOK AT BRONXVILLE NY	ST	36	36	119
USGS	01302000	BRONX RIVER AT BRONXVILLE NY	ST	36	36	119
USGS	01302003	BRONX RIVER AT MT VERNON AVE AT MOUNT VERNON NY	ST	36	36	119
USGS	01302009	HILLVIEW RESERVOIR HILLSIDE FLUME 2 NR YONKERS NY	ST	36	36	119
USGS	01302015	BRONX RIVER AT WILLIAMS BRIDGE NY	ST	36	36	005
USGS	01302020	BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY	ST	36	36	005
USGS	01302030	EAST RIVER AT ROOSEVELT ISLAND AT NEW YORK NY	ST	36	36	061
USGS	01302050	ALLEY CREEK NEAR OAKLAND GARDENS NY	ST	36	36	081
