agency_cd	site_no	station_nm	site_tp_cd	dec_lat_va	dec_long_va	coord_acy_cd	dec_coord_datum_cd	alt_va	alt_acy_va	alt_datum_cd	huc_cd
5s	15s	50s	7s	16s	16s	1s	10s	8s	3s	10s	16s
USGS	02339210	WEHADKEE CREEK NEAR PITTMAN AL	ST	33.22511878	-85.3199473	U	NAD83				03130002
USGS	02339215	WEHADKEE CREEK NEAR ROCK MILLS AL	ST	33.14734284	-85.2818902	U	NAD83				03130002
USGS	02339225	WEHADKEE CREEK BELOW ROCK MILLS, AL	ST	33.1223435	-85.2491113	U	NAD83	 647.21	.01	NGVD29	03130002
USGS	02339430	KELLEM HILL CREEK AT LAFAYETTE, ALA	ST	32.88179348	-85.39105889	U	NAD83				03130002
USGS	02339455	ALLEN CREEK NR LAFAYETTE, ALA	ST	32.9109594	-85.36605829	U	NAD83				03130002
USGS	02339480	OSELIGEE CREEK AT COUNTY RD 92 NEAR FREDONIA, AL	ST	32.92305556	-85.2994444	S	NAD83				03130002
USGS	02339493	OSONIPPO CREEK BELOW FAIRFAX, ALA	ST	32.7662422	-85.1671623	U	NAD83				03130002
USGS	02339495	OSELIGEE CREEK NEAR LANETT AL	ST	32.9015159	-85.1963308	S	NAD83				03130002
USGS	02339550	CHATTAHOOCHEE R (LANETT INTAKE) AT LANETT, AL	ST	32.86346154	-85.1843857	S	NAD83	 0	  1	NGVD29	03130002
USGS	02339780	CHATTAHOOCHEE RIVER AT LANGDALE, AL	ST	32.8140186	-85.1674404	S	NAD83	 540.01	.01	NGVD29	03130002
USGS	02340750	OSANIPPA CREEK NEAR FAIRFAX AL	ST	32.7890192	-85.1916077	U	NAD83				03130002
USGS	02340770	OSANIPPA CREEK NEAR BLANTON, AL.	ST	32.7323545	-85.1413279	U	NAD83				03130002
USGS	02340900	HALAWAKEE CREEK NEAR OPELIKA AL	ST	32.6970772	-85.2668874	U	NAD83				03130002
USGS	02341030	WACOOCHEE CREEK (NEAR PHENIX CITY)AT VALLEY AL	ST	32.62235836	-85.1332713	U	NAD83				03130002
USGS	02341480	MILL CREEK NEAR PHENIX CITY AL	ST	32.49236396	-85.0327111	U	NAD83				03130003
USGS	02342115	UCHEE CREEK NEAR HUGLEY, AL.	ST	32.3862547	-85.2354955	U	NAD83				03130003
USGS	02342125	UCHEE CREEK NR CRAWFORD, ALA	ST	32.3784777	-85.1816045	U	NAD83				03130003
USGS	02342150	UCHEE CREEK NEAR SEALE AL	ST	32.35459047	-85.09549	U	NAD83	 275.00	.01	NGVD29	03130003
USGS	02342180	UCHEE CREEK NEAR SEALE, AL.	ST	32.35125745	-85.0721557	U	NAD83				03130003
USGS	02342200	PHELPS CREEK NEAR OPELIKA AL	ST	32.563748	-85.2766093	U	NAD83	 530.00	.01	NGVD29	03130003
USGS	02342280	LITTLE UCHEE CREEK NEAR BLEECKER, AL	ST	32.4959734	-85.1707719	U	NAD83				03130003
USGS	02342360	LITTLE UCHEE CREEK NEAR CRAWFORD AL	ST	32.46180845	-85.13077	U	NAD83				03130003
USGS	02342400	LITTLE UCHEE CREEK NEAR SEALE, AL.	ST	32.37792309	-85.0804896	U	NAD83				03130003
USGS	02342500	UCHEE CREEK NEAR FORT MITCHELL, AL.	ST	32.31681467	-85.014931	S	NAD83	 201.76	.01	NGVD29	03130003
USGS	02342540	UCHEE CREEK AT FT BENNING, ALA	ST	32.2954267	-84.977152	U	NAD83				03130003
USGS	02342870	HIGH LOG CREEK (SITE A) NR HATCHECHUBBEE, AL	ST	32.27264757	-85.2993852	S	NAD83	 305	 10	NGVD29	03130003
USGS	02342871	HIGH LOG CREEK (SITE B) NR HATCHECHUBBEE, ALA	ST	32.2723698	-85.2993852	S	NAD83	 305	 10	NGVD29	03130003
USGS	02342890	HATCHECHUBBEE CR AT COUNTY ROAD NR PITTSVIEW, ALA	ST	32.1820961	-85.1668797	U	NAD83				03130003
USGS	02342892	HATCHECHUBBEE CREEK AT US 431 NR PITTSVIEW, AL	ST	32.18265164	-85.1674352	U	NAD83				03130003
USGS	02342897	WATERMELON CREEK NEAR PITTSVIEW AL	ST	32.2434829	-85.166047	U	NAD83				03130003
USGS	02342899	WATERMELON CREEK AT PITTSVIEW AL	ST	32.19376246	-85.1463235	U	NAD83				03130003
USGS	02342902	HATCHECHUBBEE CREEK AT COTTONTON, ALA	ST	32.14015329	-85.0727093	U	NAD83				03130003
USGS	02342910	NORTH FORK COWIKEE CREEK NEAR HURTSBORO AL	ST	32.192095	-85.3068843	U	NAD83				03130003
USGS	02342912	HURTSBORO CREEK AT HURTSBORO, ALA	ST	32.23681478	-85.4152214	U	NAD83				03130003
USGS	02342913	HURTSBORO CREEK BELOW HURTSBORO, ALA	ST	32.20570509	-85.3793866	U	NAD83				03130003
USGS	02342915	HURTSBORO CREEK NEAR HURTSBORO AL	ST	32.18126194	-85.3268848	U	NAD83				03130003
USGS	02342920	NORTH FORK COWIKEE CREEK NEAR GLENVILLE AL	ST	32.0901548	-85.2093799	U	NAD83	 210	 10	NGVD29	03130003
USGS	02342925	MIDDLE FORK COWIKEE CREEK NEAR HURTSBORO AL	ST	32.17126195	-85.3779972	U	NAD83				03130003
USGS	02342928	MIDDLE FORK COWIKEE C NR HAWKINSVILLE, AL.	ST	32.05710047	-85.2288245	U	NAD83				03130003
USGS	02342930	BRONSON C NR CLAYTON, ALA	ST	31.96987999	-85.4404965	U	NAD83				03130003
USGS	02342933	SOUTH FORK COWIKEE CREEK NEAR BATESVILLE AL	ST	32.0176572	-85.2957704	S	NAD83	 200.00	10.	NGVD29	03130003
USGS	02342935	UNNAMED TRIB TO SO FORK COWIKEE CR NR BATESVILLE	ST	32.0382121	-85.2768813	U	NAD83				03130003
USGS	02342937	South Fork Cowikee Creek nr Howe, AL	ST	32.0167861	-85.2138	1	NAD83	196	1.6	NAVD88	03130003
USGS	02342940	COWIKEE CREEK NEAR EUFAULA AL	ST	31.9821026	-85.1149314	U	NAD83				03130003
USGS	02342965	CHEWALLA CREEK NEAR EUFAULA AL	ST	31.93821505	-85.178822	U	NAD83				03130003
USGS	02342969	CHEWALLA C AT EUFAULA, ALA	ST	31.9071046	-85.1490988	U	NAD83				03130003
USGS	0234296950	CHATTAHOOCHEE R AT EUFALUA, ALA	ST	31.8915494	-85.1338205	U	NAD83				03130003
USGS	02342980	BARBOUR C NR WHITE OAK, ALA	ST	31.8987715	-85.3404932	U	NAD83				03130003
USGS	02342985	LEAK C NR WHITE OAK, ALA	ST	31.93071503	-85.3432712	U	NAD83				03130003
USGS	02342987	UNNAMED TRIB TO LEAK C NR WHITE OAK, ALA	ST	31.93071519	-85.3110481	U	NAD83				03130003
USGS	02342990	DOWDY C NR LUGO, ALA	ST	31.9334931	-85.2677136	U	NAD83				03130003
USGS	02342995	BARBOUR CREEK NEAR OSCO, AL.	ST	31.8957163	-85.2335458	U	NAD83				03130003
USGS	02342997	Barbour Creek at Barbour Lane nr Eufaula, AL	ST	31.8883861	-85.1947667	1	NAD83	198	1.6	NAVD88	03130003
USGS	02343000	BARBOUR CREEK NEAR EUFAULA AL	ST	31.86321687	-85.1610435	U	NAD83	 143.07	.01	NGVD29	03130003
USGS	02343040	CHENEYHATCHEE CREEK NEAR EUFAULA AL	ST	31.84043987	-85.2196563	U	NAD83				03130003
USGS	02343050	WHITE OAK C NR BAKERHILL, ALA	ST	31.7698861	-85.2227117	U	NAD83				03130003
USGS	023432415	CHATTAHOOCHEE R .36 MI DS WFG DAM NR FT GAINES, GA	ST	31.62138889	-85.06	S	NAD83	0.01	.23	NAVD88	03130004
USGS	02343275	ABBIE CREEK NEAR ABBEVILLE AL	ST	31.5618355	-85.2049324	U	NAD83				03130004
USGS	02343276	VAN MILL CREEK AT ABBIEVILLE, ALA	ST	31.56905749	-85.23104429	U	NAD83				03130004
USGS	02343277	ABBIE CREEK BELOW ABBIEVILLE, ALA	ST	31.53322508	-85.2110436	U	NAD83				03130004
USGS	02343278	SKIPPERS CREEK AT ABBIEVILLE, ALA	ST	31.5557243	-85.26465609	U	NAD83				03130004
USGS	02343280	ABBIE CREEK NR TUMBLETON, ALA	ST	31.478504	-85.2377107	U	NAD83				03130004
USGS	02343292	SANDY CREEK NEAR NEWVILLE AL	ST	31.43711596	-85.2599332	U	NAD83				03130004
USGS	02343298	ABBIE CREEK NR BROWNS CROSSROADS, ALA	ST	31.4562825	-85.2096544	U	NAD83				03130004
USGS	02343300	ABBIE CREEK NEAR HALEBURG AL	ST	31.47350458	-85.162431	U	NAD83	 145.74	.01	NGVD29	03130004
USGS	02343370	ABBIE CREEK BELOW HALEBURG, ALA	ST	31.41128437	-85.097985	U	NAD83				03130004
USGS	02343400	FOSTER CREEK AT STATE HIGHWAY 95 NEAR HALEBURG, AL	ST	31.36073004	-85.1110409	U	NAD83				03130004
USGS	02343500	CHATTAHOOCHEE RIVER AT COLUMBIA, AL.	ST	31.2840655	-85.0957629	S	NAD83	 72.23	.01	NGVD29	03130004
USGS	02343590	OMUSSEE CREEK NR DOTHAN, ALA	ST	31.2748967	-85.3627111	U	NAD83				03130004
USGS	02343595	POPLAR SPRING BRANCH AT JUDSON ST IN DOTHAN AL	ST	31.21462058	-85.3721554	U	NAD83	 297.00	.01	NGVD29	03130004
USGS	02343600	OMUSSEE CREEK NR KINSEY, ALA	ST	31.291008	-85.2965995	U	NAD83				03130004
USGS	02343700	STEVENSON CREEK NEAR HEADLAND AL	ST	31.35517405	-85.1846536	U	NAD83	 150.39	.01	NGVD29	03130004
USGS	02343710	OMUSEE CREEK NEAR HALEBURG	ST	31.34211888	-85.1771534	U	NAD83				03130004
USGS	02343750	OMUSEE CREEK AT COLUMBIA, AL	ST	31.28350978	-85.1165966	S	NAD83				03130004
USGS	02343802	CHATTAHOOCHEE RIVER BELOW ANDREWS L&D	ST	31.2582327	-85.1102076	U	NAD83				03130004
USGS	02343830	CHATTAHOOCHEE RIVER @ FARLEY NUCLEAR PL (WITHDRAW)	ST	31.22240045	-85.1082632	U	NAD83				03130004
USGS	02343831	CHATTAHOOCHEE RI AT FARLEY NUCLEAR PLANT (RELEASE)	ST	31.22212268	-85.1082632	U	NAD83				03130004
USGS	02343848	CEDAR CREEK AT EAST COOK ROAD NR PANSEY, AL.	ST	31.18545678	-85.1499306	S	NAD83				03130004
USGS	02343850	CEDAR CREEK AT ST HWY 95 NEAR CALUMET, ALA	ST	31.18962357	-85.118819	S	NAD83				03130004
USGS	02344000	CHATTAHOOCHEE RIVER AT ALAGA, ALA	ST	31.11657069	-85.0471513	S	NAD83	 62.72	.01	NGVD29	03130004
USGS	02344025	BRYANS CREEK AT STATE HWY 95 NEAR CROSBY, ALA	ST	31.0696276	-85.0449292	S	NAD83				03130004
USGS	02347425	YELLOW RIVER AT BABBIE, ALA	ST	31.27378106	-86.3485645	U	NAD83				03140103
USGS	02358755	LIMESTONE CREEK ON STATE HWY 109 BELOW DOTHAN, A	ST	31.0990682	-85.4204888	U	NAD83				03130012
USGS	02358765	BIG CREEK AT STATE HIGHWAY 203 NEAR REHOBETH, AL	ST	31.08045758	-85.4313222	S	NAD83				03130012
USGS	02358770	BIG CREEK NEAR MADRID AL	ST	31.02073814	-85.3502106	U	NAD83				03130012
USGS	02358775	BUCK CREEK AT COTTONWOOD, ALA	ST	31.04907095	-85.3140993	U	NAD83				03130012
USGS	0235878055	COWARTS CREEK NEAR LOVE HILL, ALABAMA	ST	31.1224021	-85.2921548	1	NAD83				03130012
USGS	0235878075	COWARTS CREEK ABOVE COTTONWOOD, AL.	ST	31.1054586	-85.25465459	U	NAD83				03130012
USGS	02358785	COWARTS CREEK AT SR 53 NR COTTONWOOD, AL.	ST	31.0168506	-85.222432	U	NAD83				03130012
USGS	02359970	UNNAMED TRIB TO LINDSEY C BELOW CLAYTON, ALA	ST	31.8223846	-85.4427176	U	NAD83				03140201
USGS	02359972	UNNAMED TRIB TO LINDSEY CR NR CLAYTON, AL	ST	31.82044023	-85.4463288	U	NAD83				03140201
USGS	02359975	LINDSEY CREEK NEAR CLAYTON AL	ST	31.78905234	-85.4366061	U	NAD83				03140201
USGS	02359980	LINDSEY C NR LINDSEY, ALA	ST	31.7523868	-85.4488283	U	NAD83				03140201
